0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-420.83435,113.160904,3.8638582,-13.892483,13.516369,0.73089236,-27.836103,-27.08442,-12.815218,-6.3353767,-5.733389,-12.925058,-25.484627,-26.912348,-15.007479,-7.7505755,-11.806545,-15.047159,-11.679211,-10.006767
-424.01566,112.21405,3.5214462,-21.233791,5.8481026,1.0490544,-23.335655,-21.497147,-6.617742,-8.019447,-18.060331,-20.134476,-17.65063,-17.750446,-15.816549,-8.303244,-4.931598,-12.479108,-19.368578,-16.38115
-406.73685,129.48822,8.936605,-23.755863,-1.130794,-1.856566,-19.415161,-22.58316,-13.864241,-8.895439,-16.204185,-26.288658,-25.043003,-20.757002,-21.280785,-13.830822,-1.3615671,-2.1605456,-9.3273945,-10.634457
-396.2302,137.96683,9.963218,-23.163528,-4.287753,-10.367858,-24.802532,-25.024837,-20.177742,-13.439228,-13.377926,-25.823494,-32.489838,-27.806969,-24.759995,-17.322603,-2.8118243,-1.4420092,-11.656824,-11.861878
-396.5989,136.15341,5.7861223,-27.363522,-4.545505,-5.989353,-18.36843,-17.00249,-11.747808,-10.911044,-16.265015,-22.487614,-21.527342,-22.46257,-28.830606,-21.956173,-3.2414887,1.997623,-7.7285233,-14.0865135
-389.80542,146.25443,9.559506,-31.902826,-1.5628254,6.969412,-11.563011,-16.629604,-7.752829,-6.0021577,-11.875186,-14.411327,-15.5888405,-21.743015,-24.962002,-17.999254,-9.563686,-5.5372105,-2.8913593,-5.086269
-397.30002,140.14514,9.633316,-31.25114,-2.5976346,4.392202,-16.14599,-21.712734,-11.137287,-7.7777376,-14.699274,-20.59766,-21.170511,-20.83553,-21.581524,-19.385963,-13.885904,-10.564453,-10.966444,-12.716221
-384.25888,151.08386,13.300703,-22.388771,9.589479,10.227289,-18.126915,-29.373058,-20.037022,-9.960507,-9.184187,-14.088188,-16.326506,-16.211538,-18.160099,-19.08813,-16.12471,-12.164644,-9.048544,-8.244397
-349.02148,171.23468,10.697166,-6.9063344,18.824791,2.3569918,-13.132202,-21.6304,-29.413105,-17.798157,-5.712901,-15.385957,-28.28606,-23.602577,-11.260025,-13.854839,-19.371643,-4.4483614,4.9102983,-10.166868
-342.59067,177.43863,13.913143,-5.6759987,11.745068,-9.73746,-14.619324,-13.5121765,-25.608086,-18.134949,-8.094349,-22.111668,-28.695591,-16.92199,-15.657333,-22.977785,-15.8093195,-1.9424973,-1.5455581,-8.764446
-364.46136,169.2116,22.409748,-15.112854,2.4386196,-1.5367202,-6.7957954,-9.70956,-20.870285,-16.738525,-3.0402792,-9.371633,-21.011045,-18.119976,-18.28031,-25.042282,-17.593596,-2.3976552,-2.4486594,-12.834032
-379.3968,158.64813,22.392265,-19.885181,-2.7727432,1.9523692,-0.5096791,-6.577523,-20.084816,-18.512962,-7.75008,-13.811122,-20.982079,-15.816666,-19.066902,-23.897705,-9.178668,1.7421577,-9.449037,-17.060936
-371.1102,164.2302,19.384354,-24.101595,-7.1295934,-5.3634744,-7.3768425,-10.052019,-23.670725,-23.484753,-10.205234,-13.118027,-20.292063,-14.790576,-15.734243,-21.505558,-11.958934,-3.0772293,-10.744646,-15.997959
-378.3824,160.17404,20.889927,-22.074448,2.261983,4.0209985,-13.491894,-16.43402,-11.673237,-11.567059,-15.152872,-19.115505,-16.156548,-9.285368,-12.324127,-17.392326,-8.071024,1.4451305,-5.2231646,-13.385283
-379.19922,160.3921,20.815142,-26.021412,-2.2045958,3.674381,-12.1860695,-18.11181,-15.458899,-11.437418,-8.112307,-12.807772,-19.010616,-14.579308,-10.8125305,-17.472763,-17.903948,-6.855788,-5.651465,-17.868816
-372.3484,165.5127,17.840286,-33.39264,-9.427357,0.8873326,-8.988443,-14.417195,-16.741608,-15.298595,-11.01773,-15.646038,-21.477924,-14.553707,-9.1577425,-16.101755,-17.699955,-8.044391,-3.7384737,-7.9070396
